"date","symb","pct_change"
"1/14/2011","AA",-4.42849
"1/21/2011","AA",-2.47066
"1/28/2011","AA",1.63831
"1/7/2011","AA",3.79267
"2/11/2011","AA",0.230814
"2/18/2011","AA",-0.632547
"2/25/2011","AA",-1.76678
"2/4/2011","AA",5.93325
"3/11/2011","AA",-3.31725
"3/18/2011","AA",1.00313
"3/25/2011","AA",4.33455
"3/4/2011","AA",-1.36823
"4/1/2011","AA",1.98482
"4/15/2011","AA",-8.52713
"4/21/2011","AA",3.72861
"4/29/2011","AA",0.354191
"4/8/2011","AA",2.87026
"5/13/2011","AA",-0.34965
"5/20/2011","AA",-4.35294
"5/27/2011","AA",3.25815
"5/6/2011","AA",-0.694847
"6/10/2011","AA",-4.0201
"6/17/2011","AA",-3.72793
"6/24/2011","AA",3.81731
"6/3/2011","AA",-4.8416
"1/14/2011","AXP",4.63801
"1/21/2011","AXP",-0.0651749
"1/28/2011","AXP",-4.7557
"1/7/2011","AXP",2.44804
"2/11/2011","AXP",6.34668
"2/18/2011","AXP",-1.91728
"2/25/2011","AXP",-3.13752
"2/4/2011","AXP",-0.70247
"3/11/2011","AXP",0.957592
"3/18/2011","AXP",0.706794
"3/25/2011","AXP",1.87709
"3/4/2011","AXP",-0.0228676
"4/1/2011","AXP",-0.395257
"4/15/2011","AXP",-0.237274
"4/21/2011","AXP",2.74809
"4/29/2011","AXP",4.00509
"4/8/2011","AXP",1.46898
"5/13/2011","AXP",-1.13863
"5/20/2011","AXP",3.58155
"5/27/2011","AXP",0.768624
"5/6/2011","AXP",1.68118
"6/10/2011","AXP",-2.82923
"6/17/2011","AXP",1.12594
"6/24/2011","AXP",-0.0206825
"6/3/2011","AXP",-4.10586
"1/14/2011","BA",0.93633
"1/21/2011","BA",1.15721
"1/28/2011","BA",-3.2019
"1/7/2011","BA",4.88284
"2/11/2011","BA",0.99398
"2/18/2011","BA",0.467675
"2/25/2011","BA",-0.0691085
"2/4/2011","BA",3.06093
"3/11/2011","BA",0.0558659
"3/18/2011","BA",-2.90853
"3/25/2011","BA",4.33917
"3/4/2011","BA",-0.92452
"4/1/2011","BA",0.693878
"4/15/2011","BA",-1.42566
"4/21/2011","BA",3.74037
"4/29/2011","BA",5.65488
"4/8/2011","BA",0.122649
"5/13/2011","BA",-0.353045
"5/20/2011","BA",-1.44928
"5/27/2011","BA",0.574788
"5/6/2011","BA",-1.29434
"6/10/2011","BA",-2.76886
"6/17/2011","BA",1.50561
"6/24/2011","BA",-3.65062
"6/3/2011","BA",-3.80463
"1/14/2011","BAC",7.62174
"1/21/2011","BAC",-5.50398
"1/28/2011","BAC",-4.5614
"1/7/2011","BAC",2.88809
"2/11/2011","BAC",1.79187
"2/18/2011","BAC",-0.13541
"2/25/2011","BAC",-1.25174
"2/4/2011","BAC",4.23049
"3/11/2011","BAC",1.41044
"3/18/2011","BAC",-1.54278
"3/25/2011","BAC",-6.05634
"3/4/2011","BAC",-1.05116
"4/1/2011","BAC",-0.372578
"4/15/2011","BAC",-5.03704
"4/21/2011","BAC",-2.22399
"4/29/2011","BAC",-0.324675
"4/8/2011","BAC",0.597015
"5/13/2011","BAC",-2.85016
"5/20/2011","BAC",-2.60723
"5/27/2011","BAC",1.91805
"5/6/2011","BAC",-0.404531
"6/10/2011","BAC",-3.39893
"6/17/2011","BAC",-1.92837
"6/24/2011","BAC",-0.661001
"6/3/2011","BAC",-4.97051
"1/14/2011","CAT",0.858277
"1/21/2011","CAT",-1.49745
"1/28/2011","CAT",3.20354
"1/7/2011","CAT",-0.688705
"2/11/2011","CAT",3.93495
"2/18/2011","CAT",2.22093
"2/25/2011","CAT",-2.72745
"2/4/2011","CAT",3.59929
"3/11/2011","CAT",-3.28757
"3/18/2011","CAT",2.40764
"3/25/2011","CAT",2.04864
"3/4/2011","CAT",0.311526
"4/1/2011","CAT",3.26821
"4/15/2011","CAT",-2.55408
"4/21/2011","CAT",3.63705
"4/29/2011","CAT",5.64811
"4/8/2011","CAT",-3.45495
"5/13/2011","CAT",-4.0343
"5/20/2011","CAT",-1.45461
"5/27/2011","CAT",3.25765
"5/6/2011","CAT",-5.07571
"6/10/2011","CAT",-3.45137
"6/17/2011","CAT",-1.01104
"6/24/2011","CAT",3.64805
"6/3/2011","CAT",-4.99013
"1/14/2011","CSCO",1.2894
"1/21/2011","CSCO",-2.35627
"1/28/2011","CSCO",0.431862
"1/7/2011","CSCO",2.54279
"2/11/2011","CSCO",-15.4229
"2/18/2011","CSCO",0.0530786
"2/25/2011","CSCO",-0.480513
"2/4/2011","CSCO",5.35117
"3/11/2011","CSCO",-2.23312
"3/18/2011","CSCO",-3.76193
"3/25/2011","CSCO",-0.346021
"3/4/2011","CSCO",-1.18153
"4/1/2011","CSCO",-1.84332
"4/15/2011","CSCO",-3.83964
"4/21/2011","CSCO",0.35545
"4/29/2011","CSCO",3.48494
"4/8/2011","CSCO",3.76249
"5/13/2011","CSCO",-3.70793
"5/20/2011","CSCO",-1.72414
"5/27/2011","CSCO",0.304692
"5/6/2011","CSCO",0.285551
"6/10/2011","CSCO",-5.73566
"6/17/2011","CSCO",-1.12285
"6/24/2011","CSCO",-0.0669344
"6/3/2011","CSCO",-3.49608
"1/14/2011","CVX",2.06707
"1/21/2011","CVX",0.903809
"1/28/2011","CVX",-0.55384
"1/7/2011","CVX",-0.512765
"2/11/2011","CVX",-0.853207
"2/18/2011","CVX",3.37173
"2/25/2011","CVX",2.89227
"2/4/2011","CVX",3.47363
"3/11/2011","CVX",-4.0242
"3/18/2011","CVX",3.67084
"3/25/2011","CVX",2.81148
"3/4/2011","CVX",1.43723
"4/1/2011","CVX",1.80451
"4/15/2011","CVX",-3.18936
"4/21/2011","CVX",3.03001
"4/29/2011","CVX",1.92791
"4/8/2011","CVX",1.0505
"5/13/2011","CVX",-0.83293
"5/20/2011","CVX",0.529256
"5/27/2011","CVX",2.05676
"5/6/2011","CVX",-6.0285
"6/10/2011","CVX",-1.21903
"6/17/2011","CVX",-0.869652
"6/24/2011","CVX",-0.9911
"6/3/2011","CVX",-3.45091
"1/14/2011","DD",3.10559
"1/21/2011","DD",-2.38239
"1/28/2011","DD",3.81916
"1/7/2011","DD",-0.579421
"2/11/2011","DD",3.72482
"2/18/2011","DD",2.8288
"2/25/2011","DD",-1.60146
"2/4/2011","DD",4.74576
"3/11/2011","DD",-2.21811
"3/18/2011","DD",-0.357277
"3/25/2011","DD",0.557621
"3/4/2011","DD",-0.645518
"4/1/2011","DD",1.99593
"4/15/2011","DD",-1.00992
"4/21/2011","DD",3.00295
"4/29/2011","DD",1.97522
"4/8/2011","DD",-0.18018
"5/13/2011","DD",-3.69494
"5/20/2011","DD",0
"5/27/2011","DD",1.56522
"5/6/2011","DD",-3.17263
"6/10/2011","DD",-1.0338
"6/17/2011","DD",-0.919448
"6/24/2011","DD",4.9697
"6/3/2011","DD",-5.43437
"1/14/2011","DIS",0.717765
"1/21/2011","DIS",1.71487
"1/28/2011","DIS",-1.99294
"1/7/2011","DIS",4.531
"2/11/2011","DIS",6.39706
"2/18/2011","DIS",0.85668
"2/25/2011","DIS",0.280177
"2/4/2011","DIS",4.27766
"3/11/2011","DIS",-1.37836
"3/18/2011","DIS",-3.30675
"3/25/2011","DIS",3.64206
"3/4/2011","DIS",1.23199
"4/1/2011","DIS",-0.787219
"4/15/2011","DIS",-0.574713
"4/21/2011","DIS",3.17305
"4/29/2011","DIS",1.79499
"4/8/2011","DIS",-2.58922
"5/13/2011","DIS",-4.15512
"5/20/2011","DIS",0.581677
"5/27/2011","DIS",0.899149
"5/6/2011","DIS",-0.943179
"6/10/2011","DIS",-1.73558
"6/17/2011","DIS",-1.52731
"6/24/2011","DIS",-0.713342
"6/3/2011","DIS",-6.01432
"1/14/2011","GE",1.12843
"1/21/2011","GE",4.00421
"1/28/2011","GE",1.35474
"1/7/2011","GE",-0.3245
"2/11/2011","GE",2.6962
"2/18/2011","GE",-0.32543
"2/25/2011","GE",-0.287356
"2/4/2011","GE",2.13612
"3/11/2011","GE",-0.196078
"3/18/2011","GE",-3.55711
"3/25/2011","GE",0.355691
"3/4/2011","GE",-2.7685
"4/1/2011","GE",2.67542
"4/15/2011","GE",-0.988142
"4/21/2011","GE",0.91047
