"start_speed","pfx_x","pfx_z","x0","z0"
90.3,-8.04,5.03,-2.375,6.509
92.5,-4.61,9.03,-2.399,6.412
91.4,-7.35,5.58,-2.514,6.432
90.9,-7.86,6.06,-2.306,6.681
91.9,-7.21,6.69,-2.331,6.462
92.3,-8.26,6.52,-2.41,6.358
91.1,-9.34,6.9,-2.457,6.362
92,-3.37,10.09,-2.437,6.384
91.3,-10.02,5.21,-2.424,6.376
83.3,-0.49,1.33,-2.398,6.431
90.9,-10.76,1.27,-2.395,6.371
83,0.64,0.49,-2.307,6.538
83.8,-1.32,2.66,-2.236,6.453
92.4,-9.38,7.06,-2.295,6.142
91,-8.69,6.46,-2.321,6.342
87,-7.14,3.12,-2.478,6.424
82.5,-0.46,2.14,-2.45,6.602
83.8,-1.55,2.56,-2.374,6.464
91.8,-9.83,5.12,-2.315,6.494
82.8,0.43,1.27,-2.478,6.309
83.6,-0.23,0.12,-2.386,6.536
91.5,-7.91,3.01,-2.375,6.265
82.3,-0.36,-0.64,-2.622,6.547
83.5,-1.47,1.58,-2.519,6.333
90.8,-10.02,7.66,-2.489,6.255
93.1,-7.71,6.35,-2.424,6.177
92.1,-8.75,5.14,-2.538,6.311
84.3,-0.18,1.68,-2.273,6.317
92.2,-8.92,5.23,-2.355,6.153
85,0.26,0.6,-2.387,6.185
84.3,-0.26,1.33,-2.489,6.267
92.1,-7.91,7.31,-2.477,6.289
91.9,-8.32,3.28,-2.542,6.197
91.8,-8.08,3.6,-2.369,6.237
91.1,-10.14,4.92,-2.303,6.248
82.1,0.61,-0.25,-2.565,6.62
90.3,-10.08,4.28,-2.265,6.38
82.1,1.83,0.05,-2.459,6.526
83.6,2.76,2.04,-2.248,6.355
90.7,-9.66,2.75,-2.5,6.345
83,2.2,1.72,-2.348,6.362
94,-9.84,3.28,-2.497,6.061
86.7,-6.18,2.5,-2.438,6.613
76,-3.12,5.92,-2.941,7.378
83.5,-0.63,2.92,-2.447,6.506
83.7,0.3,1.17,-2.317,6.404
85,-0.69,2.24,-2.263,6.316
93.2,-8.06,3.84,-2.536,6.238
90.9,-6.45,2.65,-2.532,6.327
88.4,-7.28,5.21,-2.383,6.477
90.6,-7.56,7.24,-2.319,6.435
91.6,-9.31,4.5,-2.433,6.507
92.3,-7.59,4.7,-2.493,6.436
85.1,-1.16,3.04,-2.135,6.323
83.9,-0.87,1.27,-2.366,6.37
